timestamp,interval_seconds
1771889996.123248,0.365884
1771889997.058928,0.935783
1771889997.996922,0.937993
1771889998.474312,0.477382
1771889999.185412,0.711099
1771889999.625754,0.440355
1771889999.936274,0.310521
1771890000.384306,0.448028
1771890000.952197,0.567895
1771890001.306339,0.354141
1771890001.636141,0.329782
1771890002.046512,0.410393
1771890002.441612,0.395100
1771890002.818595,0.376983
1771890003.142266,0.323658
1771890003.511315,0.369062
1771890003.876548,0.365229
1771890004.884229,1.007684
1771890005.206376,0.322147
1771890005.852223,0.645837
1771890006.228423,0.376210
1771890006.773625,0.545201
1771890007.465459,0.691835
1771890007.812068,0.346608
1771890008.209535,0.397451
1771890008.556905,0.347387
1771890008.875661,0.318757
1771890009.214572,0.338910
1771890009.594045,0.379474
1771890010.032040,0.437995
1771890010.313921,0.281883
1771890010.669245,0.355323
1771890011.047437,0.378190
1771890011.427760,0.380324
1771890011.912611,0.484839
1771890012.277716,0.365118
1771890012.942606,0.664889
1771890013.326765,0.384158
1771890013.639346,0.312578
1771890014.158144,0.518803
1771890014.675095,0.516950
1771890015.216951,0.541855
1771890015.568712,0.351762
1771890015.945412,0.376701
1771890016.417944,0.472531
1771890017.019444,0.601491
1771890017.559323,0.539888
1771890017.968075,0.408751
1771890018.321512,0.353438
1771890018.732094,0.410582
1771890019.098370,0.366276
1771890019.693429,0.595059
1771890020.098964,0.405536
1771890020.463714,0.364750
1771890020.873957,0.410243
1771890021.233343,0.359386
1771890021.671763,0.438415
1771890022.047686,0.375929
1771890022.632928,0.585242
1771890022.970237,0.337310
1771890023.444478,0.474229
1771890023.819146,0.374678
1771890024.412816,0.593668
1771890025.381417,0.968602
1771890025.681216,0.299801
1771890026.073153,0.391937
1771890026.428873,0.355720
1771890027.099380,0.670506
1771890027.419505,0.320122
1771890028.515458,1.095956
1771890028.899621,0.384163
1771890029.308805,0.409183
1771890029.971490,0.662678
1771890030.382065,0.410582
1771890030.708807,0.326743
1771890031.458583,0.749765
1771890032.666189,1.207616
1771890033.044808,0.378620
1771890033.399723,0.354915
1771890033.766572,0.366850
1771890034.584787,0.818211
1771890035.088271,0.503485
1771890035.401780,0.313513
1771890035.754977,0.353197
1771890036.024069,0.269092
1771890036.628236,0.604164
1771890037.249668,0.621423
1771890038.329215,1.079556
1771890038.810576,0.481359
1771890039.204745,0.394170
1771890039.515534,0.310790
1771890039.892407,0.376875
1771890040.344188,0.451773
1771890040.856676,0.512495
1771890041.464544,0.607861
1771890041.877751,0.413205
1771890042.234472,0.356725
1771890042.655195,0.420728
1771890042.969942,0.314745
1771890043.837952,0.868012
1771890044.429428,0.591476
1771890044.758925,0.329499
1771890045.112027,0.353101
1771890045.489247,0.377219
1771890045.794257,0.305012
1771890046.112243,0.317985
1771890046.738455,0.626204
1771890046.984853,0.246405
1771890047.318722,0.333868
1771890047.780424,0.461703
1771890048.081926,0.301504
1771890048.551724,0.469794
1771890048.967732,0.416012
1771890049.284696,0.316963
1771890049.617848,0.333153
1771890050.007257,0.389406
1771890050.364697,0.357435
1771890050.765947,0.401253
1771890051.088327,0.322377
1771890051.439260,0.350939
1771890051.800428,0.361168
1771890052.195060,0.394629
1771890052.477611,0.282553
1771890052.882286,0.404675
1771890053.420959,0.538674
1771890053.881668,0.460707
1771890054.207072,0.325405
1771890054.554041,0.346970
1771890054.857649,0.303602
1771890055.286671,0.429026
1771890055.621451,0.334771
1771890055.986295,0.364853
1771890057.074880,1.088580
1771890057.390865,0.315992
1771890057.846890,0.456023
1771890058.215750,0.368858
1771890058.688040,0.472293
1771890058.962070,0.274030
1771890059.256024,0.293950
1771890060.148469,0.892445
1771890060.610428,0.461961
1771890061.019620,0.409191
1771890061.331671,0.312052
1771890061.640399,0.308730
1771890062.621478,0.981077
1771890062.930562,0.309085
1771890063.475571,0.545003
1771890064.392179,0.916611
1771890065.405959,1.013782
1771890065.751130,0.345174
1771890066.069519,0.318386
1771890066.498206,0.428689
1771890067.105861,0.607654
1771890067.427340,0.321479
1771890068.277219,0.849870
1771890068.908534,0.631325
1771890069.189934,0.281400
1771890069.558882,0.368949
1771890069.850994,0.292113
1771890070.195729,0.344736
1771890070.678650,0.482918
1771890071.163308,0.484659
1771890072.004203,0.840894
1771890072.434960,0.430758
1771890072.740131,0.305172
1771890073.330468,0.590330
1771890073.670037,0.339565
1771890073.941283,0.271257
1771890074.289819,0.348529
1771890074.816067,0.526255
1771890075.378354,0.562286
1771890075.764253,0.385900
1771890076.143140,0.378886
1771890077.096878,0.953737
1771890077.585375,0.488497
1771890077.930429,0.345054
1771890078.266809,0.336381
1771890078.602683,0.335874
1771890079.130077,0.527393
1771890079.479697,0.349618
1771890080.561615,1.081917
1771890080.949359,0.387747
1771890081.393556,0.444196
1771890081.738420,0.344866
1771890082.248674,0.510253
1771890082.523133,0.274459
1771890082.843174,0.320041
1771890083.153856,0.310675
1771890083.667222,0.513374
1771890083.961789,0.294567
1771890084.300837,0.339048
1771890084.668899,0.368061
1771890085.091316,0.422417
1771890085.429257,0.337941
1771890086.255626,0.826364
1771890086.950783,0.695159
1771890087.218090,0.267309
1771890087.577518,0.359430
1771890087.943067,0.365548
1771890088.465632,0.522564
1771890088.907573,0.441941
1771890090.270995,1.363420
1771890090.551535,0.280543
1771890090.948213,0.396677
1771890091.301059,0.352846
1771890091.779150,0.478091
1771890093.644552,1.865385
1771890094.428839,0.784294
1771890095.191321,0.762491
1771890095.581621,0.390295
1771890096.026599,0.444985
1771890096.492757,0.466157
1771890096.836784,0.344027
1771890097.216373,0.379580
1771890097.801470,0.585108
1771890098.186581,0.385110
1771890098.541741,0.355161
1771890099.316318,0.774563
1771890099.810621,0.494317
1771890100.704947,0.894322
1771890101.265367,0.560421
1771890101.642624,0.377257
1771890101.970228,0.327605
1771890102.287971,0.317744
1771890102.906731,0.618751
1771890103.298482,0.391759
1771890104.148932,0.850449
1771890104.484426,0.335495
1771890105.075041,0.590607
1771890106.347815,1.272778
1771890106.672083,0.324269
1771890107.022484,0.350403
1771890107.315261,0.292776
1771890107.860623,0.545362
1771890108.821567,0.960937
1771890109.112080,0.290521
1771890109.478306,0.366225
1771890110.032273,0.553965
1771890110.532870,0.500599
1771890110.763667,0.230798
1771890111.115329,0.351662
1771890111.398949,0.283619
1771890111.828487,0.429538
1771890112.295567,0.467080
1771890112.673130,0.377562
1771890113.007670,0.334541
1771890114.017236,1.009555
1771890114.733308,0.716075
1771890115.096771,0.363471
1771890115.635323,0.538542
1771890116.214719,0.579404
1771890116.673083,0.458366
1771890117.002866,0.329781
1771890117.383896,0.381030
1771890117.682960,0.299065
1771890117.997905,0.314947
1771890118.623339,0.625429
1771890119.058821,0.435486
1771890120.006448,0.947624
1771890120.746950,0.740498
1771890121.142834,0.395891
1771890121.480773,0.337938
1771890121.862334,0.381560
1771890122.554269,0.691928
1771890123.071698,0.517436
1771890123.524082,0.452385
1771890123.898111,0.374030
1771890125.062500,1.164378
1771890125.577189,0.514700
1771890125.960920,0.383731
1771890126.267843,0.306923
1771890126.976865,0.709018
1771890127.866145,0.889273
1771890128.159388,0.293255
1771890128.547492,0.388104
1771890128.863063,0.315569
1771890129.263373,0.400311
1771890129.606784,0.343410
1771890130.242273,0.635489
1771890130.519757,0.277485
1771890130.881209,0.361450
1771890131.307905,0.426699
1771890131.613734,0.305827
1771890131.985074,0.371342
1771890132.333668,0.348594
1771890132.774876,0.441208
1771890133.873049,1.098164
1771890134.261426,0.388384
1771890134.647311,0.385884
1771890135.004246,0.356933
1771890135.883222,0.878979
